Reference Geometry	Ply Group	Sequence	Ply/Insert	Material	C373	C374	C375	C369	C370	C371	C361	C362	C363	C353	C354	C355	C345	C346	C347	C337	C338	C339	C329	C330	C331	C321	C322	C323	C313	C314	C315	
OML	Plies Group.1	S.92	Ply.92	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D																												
OML	Plies Group.1	S.93	Ply.93	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D																												
OML	Plies Group.1	S.94	Ply.94	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	
OML	Plies Group.1	S.95	Ply.95	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D																												
OML	Plies Group.1	S.96	Ply.96	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D																												
OML	Plies Group.1	S.97	Ply.97	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D																												
OML	Plies Group.1	S.98	Ply.98	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D																												
OML	Plies Group.1	S.99	Ply.99	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D																								0	0	0	0	
OML	Plies Group.1	S.100	Ply.100	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D						0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
OML	Plies Group.1	S.101	Ply.101	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D																												
OML	Plies Group.1	S.102	Ply.102	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D																												
OML	Plies Group.1	S.103	Ply.103	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D																												
OML	Plies Group.1	S.104	Ply.104	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D																								0	0	0	0	
OML	Plies Group.1	S.105	Ply.105	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D																		45			45	45	45	45	45	45	45	
OML	Plies Group.1	S.106	Ply.106	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D																												
OML	Plies Group.1	S.107	Ply.107	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D																											0	
OML	Plies Group.1	S.108	Ply.108	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
OML	Plies Group.1	S.109	Ply.109	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D																												
OML	Plies Group.1	S.110	Ply.110	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D																												
OML	Plies Group.1	S.111	Ply.111	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D																												
OML	Plies Group.1	S.112	Ply.112	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D																												
OML	Plies Group.1	S.113	Ply.113	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D																												
OML	Plies Group.1	S.114	Ply.114	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D																		0			0	0	0	0	0	0	0	
OML	Plies Group.1	S.115	Ply.115	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D																												
OML	Plies Group.1	S.116	Ply.116	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D																												
OML	Plies Group.1	S.117	Ply.117	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D																												
OML	Plies Group.1	S.118	Ply.118	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D																												
OML	Plies Group.1	S.119	Ply.119	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D																												
OML	Plies Group.1	S.120	Ply.120	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	
OML	Plies Group.1	S.121	Ply.121	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D																								0		0	0	
OML	Plies Group.1	S.122	Ply.122	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D			0																									
OML	Plies Group.1	S.123	Ply.123	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D							0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
OML	Plies Group.1	S.124	Ply.124	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D																											-45	
OML	Plies Group.1	S.125	Ply.125	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D																												
OML	Plies Group.1	S.126	Ply.126	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D																												
OML	Plies Group.1	S.127	Ply.127	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D																											45	
OML	Plies Group.1	S.128	Ply.128	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D																												
OML	Plies Group.1	S.129	Ply.129	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D																												
OML	Plies Group.1	S.130	Ply.130	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	
OML	Plies Group.1	S.131	Ply.131	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D																												
OML	Plies Group.1	S.132	Ply.132	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D																												
OML	Plies Group.1	S.133	Ply.133	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D																												
OML	Plies Group.1	S.134	Ply.134	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D																												
OML	Plies Group.1	S.135	Ply.135	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D																					0		0	0	0	0	0	
OML	Plies Group.1	S.136	Ply.136	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D																					45		45	45	45	45	45	
OML	Plies Group.1	S.137	Ply.137	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D															0			0	0	0	0	0	0	0	0	0	0	
OML	Plies Group.1	S.138	Ply.138	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D																					-45			-45		-45	-45	
OML	Plies Group.1	S.139	Ply.139	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D																					-45		-45	-45	-45	-45	-45	
OML	Plies Group.1	S.140	Ply.140	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D															45		45	45	45	45	45	45	45	45	45	45	45	
OML	Plies Group.1	S.141	Ply.141	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D												0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
OML	Plies Group.1	S.142	Ply.142	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D																												
OML	Plies Group.1	S.143	Ply.143	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D																					45			45		45	45	
OML	Plies Group.1	S.144	Ply.144	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D																												
OML	Plies Group.1	S.145	Ply.145	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D																												
OML	Plies Group.1	S.146	Ply.146	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D																												
OML	Plies Group.1	S.147	Ply.147	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D									-45		-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	
OML	Plies Group.1	S.148	Ply.148	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
